precio,marca,producto,Ean,Url,Categ
"$57,93
Por unidad
                                                                Llevando 3",Sprite,Gaseosa Sprite sin azúcares lima limón 2.25 l.,7790895064166,https://supermercado.carrefour.com.ar/infinitescroll/ajax/category/?id=8638&p=2,Bebidas/Gaseosas/Precios económicos/Bebidas/¡¡CYBER MONDAY!!/30% Off en Supermercado/Bebidas/Gaseosas/¡¡GIGANTE!!/2do al 50% con Mi Carrefour en productos iguales/Bebidas/Gaseosas/¡¡BLACK CARREFOUR!!/3x2 con Mi Carrefour en productos iguales/Gaseosas
"$71,33
Por unidad
                                                                Llevando 3",Sprite,Gaseosa Sprite lima limón 2.25 l.,7790895001000,https://supermercado.carrefour.com.ar/infinitescroll/ajax/category/?id=8638&p=2,Bebidas/Gaseosas/¡¡GIGANTE!!/2do al 50% con Mi Carrefour en productos iguales/Bebidas/Gaseosas/¡¡BLACK CARREFOUR!!/3x2 con Mi Carrefour en productos iguales/Gaseosas
"$123,33
Por unidad
                                                                Llevando 3",Glaciar,Agua mineral sin gas Glaciar bidón bajo sodio 6.3 l.,7795930000550,https://supermercado.carrefour.com.ar/infinitescroll/ajax/category/?id=8638&p=2,Bebidas/Aguas/Aguas minerales y de mesa/¡¡CYBER MONDAY!!/30% Off en Supermercado/Bebidas/Aguas minerales/Glaciar/30%Carrusel/¡¡BLACK CARREFOUR!!/3x2 con Mi Carrefour en productos iguales/Aguas minerales
"$266,00
Por unidad
                                                                Llevando 3",Branca,Fernet Branca 750 cc.,7790290001193,https://supermercado.carrefour.com.ar/infinitescroll/ajax/category/?id=8638&p=2,Bebidas/Fernet y aperitivos/Fernet/¡¡BLACK CARREFOUR!!/3x2 con Mi Carrefour en productos iguales/Fernet y aperitivos/3x2 Mi crf BLACK
"$72,00
Por unidad
                                                                Llevando 3",Coca Cola,Gaseosa Coca Cola light 1.75 l.,7790895012440,https://supermercado.carrefour.com.ar/infinitescroll/ajax/category/?id=8638&p=2,Bebidas/Gaseosas/¡¡CYBER MONDAY!!/30% Off en Supermercado/Bebidas/Gaseosas/¡¡GIGANTE!!/2do al 50% con Mi Carrefour en productos iguales/Bebidas/Gaseosas/¡¡BLACK CARREFOUR!!/3x2 con Mi Carrefour en productos iguales/Gaseosas
"$84,00
Por unidad
                                                                Llevando 2",Oreo,Galletitas Oreo 3 x 117 g.,7622300864958,https://supermercado.carrefour.com.ar/infinitescroll/ajax/category/?id=8638&p=2,Desayuno y merienda/Galletitas bizcochitos y tostadas/Galletitas dulces/¡¡CYBER MONDAY!!/30% Off en Supermercado/Desayuno y merienda/Galletitas dulces/30%Carrusel/¡¡BLACK CARREFOUR!!/2do al 80% en productos iguales/Desayuno y merienda/Galletitas dulces
"$75,50
Por unidad
                                                                Llevando 2",La Campagnola,Atún La Campagnola en aceite 170 g.,7793360005060.jpg,https://supermercado.carrefour.com.ar/infinitescroll/ajax/category/?id=8638&p=2,Almacén/Enlatados y Conservas/¡¡BLACK CARREFOUR!!/2x1 en productos iguales/Almacén/Enlatados y conservas
"$116,00
Por unidad
                                                                Llevando 2",Nesquik,Cacao en polvo Nesquik 800 g.,7613034453600,https://supermercado.carrefour.com.ar/infinitescroll/ajax/category/?id=8638&p=2,Desayuno y merienda/Infusiones/Cacao/¡¡BLACK CARREFOUR!!/2x1 en productos iguales/Desayuno y merienda/Cápsulas de café y cacao en polvo
"$64,00
Por unidad
                                                                Llevando 3",Brahma,Cerveza rubia Brahma 1 l.,7792798007493,https://supermercado.carrefour.com.ar/infinitescroll/ajax/category/?id=8638&p=2,Bebidas/Cervezas/Cervezas nacionales/¡¡CYBER MONDAY!!/30% Off en Supermercado/Bebidas/Cervezas/¡¡BLACK CARREFOUR!!/3x2 con Mi Carrefour en productos iguales/Cervezas
"$194,40
Por unidad
                                                                Llevando 2",Dove,Jabón en barra Dove original 6 x 90 g.,7891150044616,https://supermercado.carrefour.com.ar/infinitescroll/ajax/category/?id=8638&p=2,Perfumería/Jabones/Jabones en barra/¡¡CYBER MONDAY!!/30% Off en Supermercado/Perfumería/Jabones/Cuidado personal/General/¡¡BLACK CARREFOUR!!/2do al 80% en productos iguales/Perfumería/Jabones
"$80,50",Granja Iris,Salchichas Granja Iris sin piel 6 u.,7793940260001,https://supermercado.carrefour.com.ar/infinitescroll/ajax/category/?id=6872&p=2,Lácteos y productos frescos/Salchichas/Quesos y fiambres/Salchichas/¡¡CYBER MONDAY!!/Lácteos y productos frescos/40% Off en Supermercado/Salchichas/¡¡GIGANTE!!/Lácteos y productos frescos/Salchichas/40%Carrusel
"$102,47",Lactal,Pan de mesa Lactal blanco 560 g.,7793890001129,https://supermercado.carrefour.com.ar/infinitescroll/ajax/category/?id=6829&p=2,"Panadería/Panificados/Panes lacteados y de mesa/Precios económicos/Panadería/Productos IVA 0%/Panadería/¡¡GIGANTE!!/2do al 50% con Mi Carrefour en productos iguales/Almacén/Pan de mesa, panchos y hamburguesas"
"$903,00
Por unidad",Warhol,Latex interior profesional Warhol blanco mate 20 lt.,2669928000004,https://supermercado.carrefour.com.ar/infinitescroll/ajax/category/?id=7010&p=2,Hogar y bazar/Pinturas y ferretería/¡¡CYBER MONDAY!!/Hasta 40% Off en Bazar/¡¡BLACK CARREFOUR!!/30% Off en Bazar/Pinturas
